LastBlock,SafeGasPrice,ProposeGasPrice,FastGasPrice,SuggestBaseFee,GasUsedRatio
22041032,0.52842585,0.530709934,0.549210837,0.52842585,"0.399393416666667,0.999914611111111,0.413615305555556,0.454158333333333,0.391346633080165"
22041036,0.558741993,0.562044189,0.618248607,0.558668773,"0.391346633080165,0.292321664026095,0.954024276438607,0.060954159901507,0.999727062047347"
22041038,0.562233417,0.563137389,0.622169716,0.562233417,"0.954024276438607,0.060954159901507,0.999727062047347,0.640084763403113,0.389313973410014"
